Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Country
1970,Bachelor,Divorced,"84,835",0,0,189,104,379,111,189,1,4,4,6,SP
1961,Bachelor,Single,"57,091",0,0,464,5,64,7,0,1,7,3,7,CA
1958,Bachelor,Married,"67,267",0,1,134,11,59,15,2,1,3,2,5,US
1967,Bachelor,Together,"32,474",1,1,10,0,1,0,0,1,1,0,2,AUS
1989,Bachelor,Single,"21,474",1,0,6,16,24,11,0,2,3,1,2,SP
1958,PhD,Single,"71,691",0,0,336,130,411,240,32,1,4,7,5,SP
1954,Master,Married,"63,564",0,0,769,80,252,15,34,1,10,10,7,GER
1967,Bachelor,Together,"44,931",0,1,78,0,11,0,0,1,2,1,3,SP
1954,PhD,Married,"65,324",0,1,384,0,102,21,32,3,6,2,9,US
1954,PhD,Married,"65,324",0,1,384,0,102,21,32,3,6,2,9,IND
1947,Master,Married,"81,044",0,0,450,26,535,73,98,1,5,6,10,US
1979,Master,Together,"62,499",1,0,140,4,61,0,13,2,3,1,6,SP
1959,PhD,Widow,"67,786",0,0,431,82,441,80,20,1,3,6,6,IND
1981,Bachelor,Married,"26,872",0,0,3,10,8,3,16,1,1,1,2,CA
1969,Bachelor,Married,"4,428",0,1,16,4,12,2,4,0,25,0,0,SP
1977,Bachelor,Married,"54,809",1,1,63,6,57,13,13,4,2,1,5,SP
1977,Bachelor,Married,"54,809",1,1,63,6,57,13,13,4,2,1,5,SP
1958,PhD,Divorced,"32,173",0,1,18,0,2,0,0,1,1,0,3,SP
1960,Master,Single,"47,823",0,1,53,1,5,2,1,2,2,0,3,CA
1958,Master,Single,"30,523",2,1,5,0,3,0,0,1,1,0,2,CA
1954,Master,Together,"36,634",0,1,213,9,76,4,3,3,5,2,5,SA
1966,Master,Single,"43,456",0,1,275,11,68,25,7,3,5,1,8,IND
1979,Master,Married,"40,662",1,0,40,2,23,0,4,2,2,1,3,GER
1976,PhD,Married,"49,544",1,0,308,0,73,0,0,2,5,1,8,SP
1969,Bachelor,Single,"57,731",0,1,266,21,300,65,8,4,8,8,6,IND
1965,Master,Single,"33,168",0,1,80,1,37,0,1,3,2,1,4,SP
1956,Bachelor,Together,"54,450",1,1,454,0,171,8,19,12,9,2,8,SP
1956,Bachelor,Together,"54,450",1,1,454,0,171,8,19,12,9,2,8,SP
1956,PhD,Widow,"35,340",1,1,27,0,12,0,1,2,2,0,3,SP
1975,Bachelor,Single,"73,170",0,0,184,174,256,50,30,1,5,4,6,CA
1971,PhD,Divorced,"65,808",1,1,155,7,80,13,7,3,5,1,5,SP
1986,Bachelor,Married,"79,529",0,0,423,42,706,73,197,1,4,8,9,CA
1972,PhD,Together,"34,578",2,1,7,0,1,0,0,1,1,0,2,AUS
1974,PhD,Married,"46,374",0,1,408,0,21,0,0,3,7,1,7,IND
1990,Bachelor,Married,"18,351",0,0,1,12,9,0,14,1,2,0,3,SP
1987,PhD,Single,"95,169",0,0,1285,21,449,106,20,1,4,3,4,SP
1984,Master,Married,"65,370",0,0,71,22,112,138,89,1,2,3,13,SP
1960,Master,Divorced,"39,228",0,0,7,1,6,0,3,1,0,0,3,SA
1961,PhD,Single,"84,865",0,0,1248,16,349,43,16,1,2,4,9,SP
1968,Bachelor,Married,"61,314",0,1,378,0,189,97,172,2,5,5,12,SP
1972,Bachelor,Single,"21,359",1,0,12,2,17,6,1,2,2,0,3,CA
1955,PhD,Married,"66,465",0,1,1200,0,204,38,29,3,11,9,12,SP
1983,Master,Single,"81,698",0,0,709,45,115,30,160,1,8,2,5,SP
1986,Bachelor,Single,"39,146",1,0,94,1,33,13,12,3,4,0,4,SP
1970,Master,Divorced,"25,959",1,1,4,2,12,7,5,2,1,2,2,SP
1961,Bachelor,Together,"64,260",0,0,539,169,816,20,0,1,4,5,4,SP
1973,Bachelor,Married,"32,300",1,0,13,3,6,6,5,1,1,0,3,SP
1965,Master,Married,"74,806",0,1,670,9,249,0,28,2,5,4,5,AUS
1970,Bachelor,Divorced,"72,967",0,1,158,35,179,0,0,2,7,2,8,GER
1960,Bachelor,Single,"48,904",0,1,283,10,38,0,13,4,7,2,4,US
1984,Master,Married,"14,796",1,0,13,3,8,7,4,2,1,0,3,GER
1954,Master,Married,"66,991",0,0,496,36,460,189,60,3,4,8,6,GER
1978,Master,Single,"52,195",2,1,12,0,4,0,0,1,1,0,2,SA
1956,Bachelor,Married,"90,369",0,0,292,51,981,224,23,1,4,6,6,SP
1974,High School,Married,"18,393",1,0,7,10,13,16,0,2,3,0,3,SP
1952,Bachelor,Single,"47,139",1,1,46,0,12,0,2,2,2,1,2,SP
1973,Master,Married,"38,576",0,1,34,0,7,0,0,1,1,0,3,IND
1975,PhD,Together,"61,905",0,1,167,0,43,6,2,2,4,2,4,SA
1962,Bachelor,Married,"83,715",0,0,318,8,407,150,35,1,2,8,13,SA
1964,Bachelor,Married,"60,597",0,1,522,0,257,32,16,4,2,2,8,SP
1982,Master,Single,"6,560",0,0,67,11,26,4,3,0,1,0,1,SP
1961,Master,Together,"48,330",0,1,28,0,4,0,0,1,1,0,3,SP
1968,PhD,Single,"38,236",1,1,58,0,18,2,0,4,3,0,4,SP
1977,Master,Married,"22,701",1,0,2,4,9,0,4,1,1,0,3,SP
1974,Master,Divorced,"53,367",1,1,229,7,140,10,3,7,5,1,8,AUS
1986,Bachelor,Together,"34,728",1,0,14,0,16,0,0,1,1,1,2,SP
1956,Master,Married,"63,915",0,2,622,7,115,30,0,2,6,3,12,AUS
1960,Master,Married,"82,504",0,0,362,50,431,134,35,1,3,6,7,IND
1972,PhD,Single,"38,578",1,1,38,4,22,3,3,3,3,0,3,SP
